289,SKYHOPPER/10,3,30000.0,10.0,616.5
290,SKYHOPPER/11,3,30000.0,10.0,616.5
291,SKYHOPPER/20,3,30000.0,10.0,616.5
292,SKYHOPPER/10,3,30000.0,10.0,616.5
293,SENIOR AERO SPORT/PJ260,3,30000.0,10.0,616.5
294,SENIOR AERO SPORT/D-260,3,30000.0,10.0,616.5
295,SENIOR AERO SPORT/PJ260,3,30000.0,10.0,616.5
296,SHEFFIELD/SKEETER X.1,3,30000.0,10.0,616.5
297,SHANNON & BUENTE/SB-1,3,30000.0,10.0,616.5
298,PFOUTS ALFRED L/SENIOR AERO SPT D260,3,30000.0,10.0,616.5
